Burglary, 03/24/2017,33.195586,-87.5447739, 3200 18th St.
theft, 03/24/2017,33.2053244625,-87.5551383933, 1100 14th Ave
theft, 03/24/2017,33.210995,-87.553761, 1200 University Blvd
robbery,	03/22/2017,33.1986699747,-87.5397735303, 300 15th St
theft, 03/22/2017,33.189474,-87.551494, 2700 10th Ave
Burglary, 03/22/2017,33.201419,-87.55065, 1400 10th Ave
theft, 03/22/2017,33.202657,-87.552139, 1300 11th Ave
Burglary, 03/22/2017,33.206816,-87.571763, 2700 7th St
theft, 03/22/2017,33.200128,-87.543276, 500 14th St
theft, 03/21/2017,33.208272,-87.538331, 300 University Blvd
theft, 03/20/2017,33.2107915557,-87.5526118634, 1100 University Blvd
theft, Veh 03/20/2017,33.191969,-87.5428929, 1100 E Hargrove Rd
theft, Veh 03/20/2017,33.2099500422,-87.5478880132, 800 E University Blvd
robbery,	03/20/2017,33.184551,-87.5489129, 4100 29th St
theft, 03/19/2017,33.196757,-87.55096, 1700 10th Ave
Burglary, 03/19/2017,33.188592,-87.5409029, 3400 23rd St
theft, Veh 03/19/2017,33.199444,-87.552413, 1100 15th St
Burglary, 03/19/2017,33.211708,-87.557787, 1600 University Blvd
Burglary, 03/18/2017,33.191969,-87.5428929, 1100 E Hargrove Rd
Burglary, 03/18/2017,33.210409,-87.555334, 1400 6th St
theft, 03/18/2017,33.196104,-87.549441, 1700 9th Ave
theft, 03/18/2017,33.2099500422,-87.5478880132, 800 E University Blvd
Burglary, 03/17/2017,33.2116815,-87.5695632, 2600 Greensboro Ave
Burglary, 03/17/2017,33.210865,-87.560601, 600 Queen City Ave
Burglary, 03/15/2017,33.191969,-87.5428929, 1100 E Hargrove Rd
theft, 03/15/2017,33.186212,-87.543121, 500 27th St
Burglary, 03/14/2017,33.191969,-87.5428929, 1300 Hargrove Rd
Burglary, 03/14/2017,33.2057198,-87.5430748, 1400 Paul W Bryant Dr
Burglary, 03/14/2017,33.198258,-87.539071, 1500 3rd Ave
Burglary, 03/14/2017,33.194662,-87.5448059, 2900 19th St
